species	FAME000007	FAME000011	FAME000001	FAME000004	FAME000016	FAME000013	FAME000014	FAME000009	FAME000010	FAME000023	FAME000012	FAME000022	FAME000017	FAME000018	FAME000015	FAME000002	FAME000020	FAME000006	FAME000005	FAME000019	FAME000008	FAME000003
Erwinia virus Eho59	0.00014310701224359992		0.00018840248152982814		0.0014973241368650863	0.0007992148889032539	0.000755705340630662		0.0006564448820743659	7.96194191763371e-05	4.977353043651386e-05	0.0009385780964621525	0.0689124332156117	0.0007007485268354834	0.0021537489590213368	0.004722940857950785	0.0010299576902272575		0.0007733303518187239	3.293048374880627e-05	0.00031659926692582106	0.0009522801819913236
Escherichia phage D6	0.11062702072401548	8.133104057257052e-05	0.00020762722454307591	0.0003773037295022493	0.0012461600881006202	0.0008697338496888352	0.0008308064924945787	0.004168813527565694	0.0007502227223707038	5.9714564382252824e-05	0.0002488676521825693	0.0006933639991882568	4.527755139002083e-05	0.0005096352922439879	0.07988972805329811	0.00033090668431502316	0.003304756329793934	0.00017839836837816594	0.0012112403100775194	0.0030296045048901765	0.000518961684960882	0.001622403273022255
Escherichia phage HK639	0.032029469444002756	0.0031951480224938415	0.002026287913596315	0.15074735161805253	0.030825556907977357	0.013204675407100084	0.02011772105554669	0.00037472481146657926	0.012727736880219649	0.02703079281036645	9.954706087302772e-05	0.014019481837245485	0.0039165081952368015	0.014229972925625101	0.014889584470034174	0.00016545334215751158	0.015004779300073356	0.022401049175269163	0.014972793679189028	0.06075674251654757	0.0057999680136823105	0.03280076182414559
Escherichia phage PHB10	0.003100651931944665	0.054061904540595805	0.0011381047863842678	0.3274706138441445	0.014007225796479839	0.007345725081831378	0.008627244820367433	0.00018736240573328963	0.007793980504628979	0.048030414618125364	0.000348414713055597	0.009106744233240885	0.0001811102055600833	0.0068641503424112125	0.00021537489590213365	0.002857830455447927	0.01002541550271568	0.005824465648670932	0.005497167561121049	0.027431092962755622	0.003061547550272373	0.013390705275161946
Klebsiella phage ST11-OXA245phi3.2	0.010833730852811786	0.020181716782079286	0.0029029361950004134	0.06068785372224641	0.015340327286075851	0.014080285836854384	0.012945561052542645	0.11761675019907254	0.014691861646426283	0.030175759867831765	0.00039818824349211086	0.014188595007779206	0.05718554740559631	0.008683707596751076	0.048488068230767026	0.011942723061187654	0.009262209444489727	0.027709606028900536	0.014013118664281454	0.09006487305298515	0.005277742418753121	0.015530396548278253
Klebsiella phage ST147-VIM1phi7.1	0.010340806699528278	0.024875679695124785	0.0038295688082389556	0.06141343781744304	0.020044823122548735	0.01838194244477484	0.016451846080189257	0.12159820132090497	0.016098529250871352	0.02362706264057804	0.000348414713055597	0.020589528512480554	0.05906456578828217	0.013186813186813187	0.02522757947333659	0.019373082245352266	0.013011551827619167	0.013148441907223205	0.019626751639833035	0.059571245101590536	0.006407055267787494	0.024712258549947682
Klebsiella phage ST16-OXA48phi5.1	0.001945195314570414	0.0607194311474648	0.0017494516142055473	0.006269046582498911	0.006008616858903765	0.00572378898376301	0.004257296546285779	0.014380064640029978	0.00643941170034854	0.005394215649196839	0.005972823652381665	0.00675607116282216	0.0012451326632255727	0.0033842968625577324	0.005685897251816328	0.00209072859635401	0.0032158391191268332	5.303735276107637e-05	0.008581171735241503	0.01653110284190075	0.002294528707720126	0.006477856546632338
Klebsiella phage ST16-OXA48phi5.2	0.000969947527428844	0.002974392340939722	0.0009189427160332434	2.902336380786533e-05	0.0028207654707393887	0.00345542907849348	0.0025722144513391477	9.368120286664482e-05	0.0037615333718864457		4.977353043651386e-05	0.0035682878982615167	0.07364393733586888	0.00205048574613792	2.8716652786951153e-05	1.5041212923410144e-05	0.001519002348896315	0.0029556270220490745	0.004304561717352415	3.293048374880627e-05	0.0014165369262454264	0.00324480654604451
Klebsiella phage ST512-KPC3phi13.3	0.00539566438755499	0.0262118325045313	0.002422317619669219	0.037207952401683356	0.013186112560134468	0.011112612903794507	0.009566009218666391	0.04468593376738958	0.009930031311378899	0.013435776986006887	0.00019909412174605543	0.011355949401339376	0.023250022638775694	0.007385730211817169	0.01931194899922465	0.016560375428674567	0.008172973613817735	0.009879412346131407	0.011073531604054861	0.05980175848783219	0.00445197319677134	0.015495126911908207
Listeria phage A006	0.005793183866009435		5.767422903974331e-06	2.902336380786533e-05	0.00011592186866052282	2.938290032732551e-05	1.4081465974484385e-05	0.056255562321420205	5.2098800164632205e-06	1.9904854794084275e-05		3.3822634106744234e-05		7.564898869246696e-05	0.026505470522355915	1.5041212923410144e-05	2.9639070222367125e-05		1.3975849731663685e-05	6.586096749761254e-05		5.878272728341504e-05
