species	FAME000121_S41	FAME000114_S47	FAME000129_S59	FAME000122_S40	FAME000109_S52	FAME000120_S42	FAME000117_S45	FAME000106_S55	FAME000119_S43	FAME000126_S62	FAME000125_S63	FAME000132_S66	FAME000108_S53	FAME000107_S54	FAME000127_S61	FAME000118_S44	FAME000112_S49	FAME000113_S48	FAME000123_S39	FAME000104_S65	FAME000110_S51	FAME000115_S64	FAME000111_S50	FAME000128_S60	FAME000130_S58	FAME000124_S38	FAME000131_S57	FAME000105_S56	FAME000116_S46
Cyanophage P-RSM1	0.007643506840938623	0.012801638609742047	0.002992220227408737	0.009198785760279642		0.0076546233925290875	0.019104021396503964		0.007682261657832066			0.006776904310111141			0.0030603501040519037	0.007399186089530152	0.010485477613505295	0.00804634695848085	0.02196715909714976			0.02277644915157727			0.001662151156026129	0.004876621476640983		0.00991571641051066	0.023516961608560174
Dickeya phage phiDP10.3	0.007643506840938623	0.15361966331690458	0.2004787552363854		0.14465798718743542	0.0076546233925290875	0.18148820326678766	0.11648840410886371	0.3380195129446109	0.053542362717382	0.04117768169652049	0.6912442396313364	0.09983361064891846	0.023560456130430684	0.07956910270534949	0.07399186089530152	0.16776764181608472	0.23334406179594464		0.054016096796845464	0.31835868411743895	0.05694112287894317	0.23645522771666497	0.21606834896029495	0.06482389508501903	0.30235053155174096	0.05773449828720988	0.00991571641051066	0.1763772120642013
Dickeya phage phiDP23.1	11.388825192998548	4.173334186775907	2.4745661280670257	6.1079937448256825	3.1204794379003924	14.650949173300672	9.876779061992549	2.795721698612729	17.000845048782363	1.0858391159085068	0.6519799601949077	11.541068040119274	3.17249029395452	2.2806521534256903	1.300648794222059	8.435072142064373	3.3972947467757155	11.095912455745092	16.37651710692515	0.6968076486793064	3.336870652045749	1.4975515317162054	5.027243754497789	1.6750252740499931	2.7658195236274787	7.095484248512631	2.8520842153881683	3.966286564204264	7.108001646187312
Edwardsiella phage Edno5	0.038217534204693114	0.14721884401203356	0.08677438659485337		0.16532341392849761	0.02296387017758726	0.22924825675804758	0.042359419675950444	0.08450487823615273	0.02784202861303864	0.0343147347471004	1.490918948224451	0.21075984470327233	0.004712091226086137	0.07344840249724569	0.14798372179060304	0.26213694033763235	0.5471515931766978	0.6535229831402054	0.005401609679684546	0.1532838108713595	0.02277644915157727	0.6682430348514444	0.10704303526473329	0.04820238352475774	0.5949478201502	0.019244832762403297	0.00991571641051066	0.2292903756834617
Enterobacter phage LAU1	5.220515172361079	5.0118415157140115	1.5559545182525434	7.405022537025113	3.3891299855342014	5.465401102265768	5.358678001719362	2.8063115535317165	2.9038949066605206	0.6060995459607642	0.3911879761169446	3.883166169693684	3.17249029395452	1.7623221185562152	1.5118129514016403	8.065112837587865	5.567788612771311	3.5162536208561312	4.695480257015761	0.3240965807810728	3.14821365405023	0.5580230042136431	4.009458209108667	1.7186353995282178	1.49427388926749	5.608114698137131	1.302875178014703	2.0823004462072383	3.9626080310423895
Enterobacteria phage CP-1639	0.8025682182985554	1.4529859822057223	0.3081986834231	2.5112685125563425	0.6922917958255838	0.6965707287201469	1.518769701022065	0.5083130361114052	0.7451793808097104	0.2548616465347383	0.15098483288724177	0.6776904310111141	0.9095951192457016	0.3863914805390632	0.572285469457706	1.9607843137254901	1.7196183286148683	2.8162214354682975	1.175243011697512	0.12423702263274457	1.544629171088315	0.2790115021068215	1.3262054076282512	0.3746506234265665	0.36068680085767	1.8336096752170097	0.38104768869558525	1.110560237977194	1.0171085895702274
Enterobacteria phage HK225	0.007643506840938623		0.29323758228605623	0.009198785760279642	0.6302955156023972	0.03061849357011635	0.05731206418951189	0.15884782378481416	0.053775831604824464	0.1799023387304035	0.3568732413698442		0.2218524681087077	0.2921496560173405	0.2631901089484637	0.022197558268590455	0.08388382090804236		0.6315558240430557	0.4159239453357101	0.29477655936799907	0.31317617583418744	0.03084198622391282	0.3429341685333122	0.6000365673254325	0.4925387691407393	0.35410492282822065	0.525532969757065	0.029396202010700218
Enterobacteria phage P4	0.03057402736375449	0.39044997759713246	0.08378216636744465		0.30998140111593303	0.02296387017758726	0.1623841818702837	0.06353912951392565	0.699085810862718	0.02784202861303864	0.0343147347471004	2.1889400921658986	0.3771491957848031	0.061257185939119774	0.061207002081038075	0.08139104698483167	0.2411659851106218	0.40231734792404245		0.021606438718738186	0.2594033722438392	0.02277644915157727	0.42150714506014186	0.12686581957301724	0.04820238352475774	0.6339607919633278	0.03464069897232593	0.1685671789786812	0.18225645246634137
Enterobacteria phage SfI	0.007643506840938623		0.11071214841412327		0.020665426741062202		0.3056643423440634	0.031769564756962826		0.00428338901739056	0.027451787797680323		0.011092623405435386	0.32042220337385735	0.006120700208103807		0.010485477613505295			0.021606438718738186		0.005694112287894317	0.020561324149275213	0.02775189803159752	0.16122866213453452		0.12701589623186174	0.11898859692612791	
Enterobacteria phage VT1-Sakai	0.015287013681877246		0.002992220227408737				0.009552010698251982				0.006862946949420081		0.011092623405435386		0.0030603501040519037					0.005401609679684546		0.005694112287894317						0.01983143282102132	
