name	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
Isoalcanivorax	3.0			1.0	2.0		1.0	1.0		3.0			9.0	8.0		1.0		12.0		9.0	7.0	
Alcanivorax	2.0				4.0		3.0	4.0		5.0			14.0	9.0		9.0		22.0		5.0	2.0	
Saccharospirillum	3.0				1.0		1.0	3.0		1.0			2.0	1.0		1.0		6.0			9.0	
Hahella	2.0				1.0			3.0		1.0			4.0	3.0		2.0		8.0		3.0	5.0	
Endozoicomonas	1.0				2.0		2.0			3.0			3.0			1.0		2.0			1.0	
Methylovulum	24.0		2.0		33.0		7.0	47.0		71.0			102.0	47.0		7.0		19.0		7.0	18.0	
Methylomonas	5.0		1.0		3.0		4.0	2.0		7.0			10.0	2.0		5.0		5.0		8.0	2.0	
Methylocaldum	3.0						3.0	2.0		4.0			5.0	2.0		4.0		7.0		1.0	4.0	
Aequoribacter	14.0				7.0			3.0		4.0			2.0			5.0		1.0				
Microbulbifer	2.0				4.0		3.0	6.0		2.0			11.0	3.0		17.0		11.0	2.0	13.0	9.0	1.0
Teredinibacter	1.0						1.0	1.0		3.0			4.0	3.0		3.0		9.0		6.0	12.0	
Haemophilus	6.0	3.0	4.0	142.0	579.0	13.0	5.0	6.0	7.0	7.0	634.0	20.0	15.0	5.0	2.0	93.0	542.0	18.0	4.0	7.0	11.0	519.0
Aggregatibacter	3.0	1.0		1.0	4.0			5.0		1.0	1.0		2.0			4.0	2.0	2.0		5.0	3.0	2.0
Glaesserella	4.0							1.0		1.0			3.0	3.0								
Cycloclasticus	2.0				1.0		1.0			3.0				3.0		2.0				2.0	1.0	
Methylophaga	2.0	1.0			2.0		5.0	6.0		10.0			10.0	10.0		6.0		12.0		5.0	6.0	
Cysteiniphilum	1.0																			2.0		
Dichelobacter	2.0							1.0		2.0			3.0	4.0				2.0		1.0		
Ignatzschineria	2.0				3.0			6.0		5.0			9.0	2.0		11.0		16.0		16.0	10.0	
Sinimarinibacterium	4.0		1.0		37.0		66.0	57.0	1.0	152.0			156.0	87.0	1.0	100.0		169.0		115.0	101.0	
Legionella	1.0				1.0								1.0					1.0		1.0	1.0	
Rickettsiella	1.0																	7.0			5.0	
Celerinatantimonas	2.0				1.0		2.0	6.0		1.0			4.0	1.0				2.0		1.0	1.0	
Frischella	1.0																					
Steroidobacter	1.0				1.0		1.0	5.0	1.0	1.0			4.0	2.0	1.0	3.0	1.0	2.0		2.0	4.0	
Comamonas	24724.0	260.0	4077.0	181.0	60327.0	586.0	46304.0	26174.0	288.0	124933.0	126.0	118.0	344913.0	175443.0	665.0	19277.0	528.0	41653.0	614.0	16303.0	113131.0	312.0
Acidovorax	6095.0	7.0	216.0	29.0	2855.0	90.0	1949.0	3872.0	48.0	5785.0	4.0		5903.0	2092.0	41.0	6525.0	39.0	4889.0	65.0	4255.0	3267.0	11.0
Delftia	1096.0	39.0	15.0	5.0	866.0	20.0	991.0	473.0	7.0	1952.0	3.0	1.0	5213.0	961.0	13.0	447.0	11.0	568.0	5.0	475.0	1615.0	2.0
Diaphorobacter	358.0		38.0	3.0	302.0	4.0	325.0	446.0	2.0	616.0	12.0	3.0	1238.0	462.0	5.0	619.0	2.0	784.0		581.0	636.0	
Hydrogenophaga	18.0		6.0		115.0	3.0	18.0	59.0		54.0			220.0	80.0	1.0	107.0	1.0	95.0		142.0	61.0	
Melaminivora	17.0		1.0		18.0		10.0	25.0		33.0			81.0	23.0	1.0	24.0		29.0		31.0	41.0	
Alicycliphilus	53.0		1.0		21.0		39.0	44.0		131.0			178.0	34.0		56.0		85.0		64.0	50.0	
Polaromonas	12.0		1.0		8.0		3.0	13.0		20.0			24.0	20.0		10.0		6.0		3.0	11.0	
Variovorax	12.0		2.0		16.0	1.0	12.0	17.0	1.0	47.0			82.0	39.0		16.0	1.0	21.0	2.0	15.0	36.0	2.0
Paracidovorax	27.0				25.0		13.0	20.0		61.0			108.0	20.0		28.0		35.0		20.0	60.0	
Curvibacter	10.0		2.0		2.0					3.0			6.0	3.0		1.0		1.0			2.0	
Ottowia	7.0		1.0	1.0	8.0		20.0	17.0		29.0	1.0		58.0	10.0		27.0	1.0	31.0		24.0	25.0	
Paenacidovorax	7.0				5.0	6.0	4.0	1.0		9.0			19.0	3.0		2.0		4.0		1.0	4.0	
Simplicispira	4.0		1.0				2.0	3.0		2.0			5.0	7.0	1.0	2.0		2.0				
Limnohabitans	3.0				5.0		3.0	1.0		8.0			21.0	7.0		6.0		3.0		2.0	3.0	
Rhodoferax	3.0				24.0		67.0	12.0	2.0	36.0			48.0	25.0	1.0	11.0		10.0		11.0	28.0	1.0
Verminephrobacter	1.0				3.0		1.0	4.0		5.0			14.0	4.0				3.0		3.0	7.0	
Serpentinimonas	1.0				2.0		1.0	1.0		4.0			6.0	2.0	1.0	3.0				6.0	9.0	1.0
Pulveribacter	1.0				4.0		2.0	2.0		6.0			9.0	3.0		1.0		2.0			5.0	
Cupriavidus	76.0	3.0	28.0		52.0		39.0	48.0		114.0	2.0		180.0	99.0	3.0	86.0	5.0	70.0		41.0	80.0	1.0
Burkholderia	49.0	1.0	18.0		98.0	9.0	36.0	77.0	6.0	113.0	1.0	1.0	186.0	92.0	17.0	151.0	2.0	103.0	18.0	77.0	93.0	10.0
Ralstonia	22.0		18.0	3.0	31.0	5.0	7.0	18.0	4.0	41.0	3.0		124.0	29.0	1.0	23.0	1.0	28.0		26.0	77.0	3.0
Paraburkholderia	20.0	2.0	15.0	11.0	10.0	10.0	16.0	4.0	3.0	4.0	7.0	102.0	11.0	7.0	17.0	16.0	11.0	15.0	10.0	4.0	17.0	7.0
Pandoraea	17.0		1.0		13.0		6.0	5.0		29.0			93.0	21.0		15.0		19.0	1.0	10.0	34.0	
Polynucleobacter	3.0				1.0		2.0	2.0		4.0			1.0	1.0							1.0	
Caballeronia	2.0		1.0	1.0				3.0	1.0	5.0	3.0		4.0	5.0		16.0				4.0	3.0	
Trinickia	1.0						1.0						5.0	2.0				1.0				
Alcaligenes	69.0		2.0		60.0	3.0	25.0	53.0		145.0		1.0	134.0	84.0		69.0		99.0		84.0	120.0	
Bordetella	46.0		1.0		17.0		12.0	23.0	2.0	35.0			56.0	15.0		24.0		16.0		25.0	34.0	1.0
Achromobacter	24.0		5.0		40.0	2.0	38.0	47.0	1.0	96.0	1.0	1.0	239.0	74.0	3.0	44.0		62.0	1.0	24.0	107.0	4.0
Castellaniella	4.0				1.0			1.0		1.0			1.0			4.0		1.0		1.0		
Kerstersia	4.0				4.0			2.0		10.0			11.0	2.0		6.0		4.0		6.0	5.0	
Paenalcaligenes	2.0							1.0		2.0												
Neopusillimonas	1.0				2.0					2.0			4.0			1.0					3.0	
Orrella	1.0				3.0			1.0		1.0										1.0		
Advenella	1.0		1.0		1.0			2.0		5.0			3.0			1.0		3.0		4.0	4.0	
Oligella	1.0							3.0		2.0			1.0	1.0				2.0		1.0		
Janthinobacterium	29.0	1.0	8.0		31.0	1.0	11.0	7.0	1.0	59.0	1.0	1.0	65.0	16.0	1.0	139.0	4.0	412.0		34.0	351.0	
Herbaspirillum	9.0	1.0			2.0		52.0	2.0		11.0			39.0	9.0		7.0	1.0	11.0		2.0	23.0	
Massilia	4.0	10.0	3.0	8.0	14.0	4.0	5.0	10.0	2.0	10.0			24.0	19.0	13.0	25.0		13.0	10.0	2.0	32.0	
Pseudoduganella	3.0						2.0						4.0	1.0					1.0		1.0	
Collimonas	1.0						1.0	1.0		3.0			3.0			4.0		7.0		1.0	1.0	
Sphaerotilus	12.0		8.0		6.0		23.0	9.0		4.0			24.0	2.0		1.0		43.0		6.0	2.0	
Roseateles	8.0		1.0	1.0	14.0	1.0	7.0	9.0		20.0			53.0	18.0	1.0	17.0		14.0		15.0	23.0	
Ideonella	9.0		1.0		12.0		5.0	22.0		26.0			49.0	24.0		37.0		27.0		44.0	27.0	
Rubrivivax	1.0																1.0	1.0			1.0	
Piscinibacter	1.0				1.0	1.0	1.0	1.0	1.0	2.0			2.0	1.0	1.0	1.0			1.0		1.0	
Aquabacterium	8.0		1.0		1.0		2.0	1.0		7.0			9.0	1.0				6.0		1.0	2.0	
Thiomonas	2.0		1.0		3.0		3.0	5.0		5.0			7.0	11.0		4.0		29.0	1.0	3.0	5.0	
Sutterella	5.0		1.0		2.0		7.0	7.0		4.0			7.0	3.0		3.0		3.0		1.0	19.0	
Uruburuella	1788.0	2.0	219.0	3.0	698.0	1.0	691.0	1054.0	1.0	1820.0	3.0	1.0	5589.0	1141.0	9.0	2686.0	4.0	4282.0	5.0	4204.0	1678.0	5.0
Neisseria	17.0	2.0	2.0	66.0	20.0	11.0	17.0	25.0		22.0	173.0	1.0	76.0	77.0		98.0	7.0	65.0		61.0	38.0	146.0
Vitreoscilla	16.0		1.0		19.0		18.0	22.0		57.0			90.0	26.0		17.0		51.0		52.0	35.0	
Paralysiella	12.0				10.0		5.0	12.0		14.0			51.0	8.0		40.0		35.0		27.0	20.0	
Kingella	1.0			4.0	1.0		2.0	5.0	1.0	5.0	1.0		19.0	11.0		9.0	3.0	8.0		11.0	10.0	
Alysiella	1.0						1.0									1.0						
Aquella	1.0																				1.0	
Microvirgula	833.0	6.0	28.0	3.0	2849.0	4.0	993.0	1291.0	1.0	2882.0	5.0	3.0	4117.0	2260.0	8.0	4114.0	12.0	2148.0	2.0	1740.0	807.0	4.0
Laribacter	328.0	2.0	17.0	1.0	191.0	2.0	185.0	540.0		799.0	1.0		842.0	532.0	6.0	590.0	1.0	595.0	3.0	282.0	320.0	1.0
Aquaspirillum	90.0		13.0		115.0	1.0	47.0	116.0		198.0			249.0	158.0		180.0		203.0	1.0	137.0	195.0	
Aquitalea	368.0	1.0		1.0	49.0	4.0	356.0	197.0		540.0	1.0		1467.0	818.0	1.0	296.0	4.0	523.0	1.0	261.0	400.0	1.0
Vogesella	84.0	1.0	1.0		70.0		318.0	38.0		265.0			892.0	168.0	2.0	36.0	1.0	163.0		70.0	252.0	1.0
Chromobacterium	50.0				33.0		127.0	54.0		296.0	1.0		210.0	123.0		560.0	1.0	339.0	1.0	163.0	35.0	
Paludibacterium	2.0				2.0			1.0		1.0			5.0	1.0		2.0		3.0		1.0		
Pseudogulbenkiania	2.0				1.0			3.0		1.0			12.0	3.0		1.0		2.0		3.0	5.0	
Chitiniphilus	3.0				2.0		1.0	4.0		1.0			2.0	7.0		3.0		4.0		5.0	7.0	
Jeongeupia	2.0		1.0				1.0			2.0			3.0	1.0		1.0		1.0		3.0	1.0	
Chitinibacter	1.0				2.0		1.0			3.0			10.0	1.0		1.0		5.0		4.0	8.0	
Chitinolyticbacter	1.0				1.0								1.0							1.0	1.0	
Thauera	61.0	1.0	10.0	1.0	103.0	3.0	72.0	138.0		173.0		1.0	225.0	159.0	5.0	266.0		199.0	3.0	104.0	128.0	
Azoarcus	6.0				5.0		1.0	7.0		6.0			18.0	10.0		6.0		10.0		6.0	4.0	
Pseudazoarcus	2.0		1.0		1.0											11.0		6.0		8.0	23.0	
Pseudothauera	2.0				1.0		2.0	5.0		6.0			3.0	4.0		5.0		4.0		4.0	3.0	
Azospira	57.0		1.0	1.0	27.0	1.0	125.0	138.0		158.0			454.0	202.0		134.0	1.0	138.0	1.0	82.0	72.0	
Aromatoleum	4.0		2.0		5.0		3.0	10.0		13.0			20.0	10.0		10.0		14.0		12.0	16.0	
Niveibacterium	3.0				2.0		1.0	2.0		2.0			3.0	4.0		2.0		3.0		3.0	2.0	
Oryzomicrobium	1.0						3.0	1.0					3.0	7.0		3.0		1.0		1.0	3.0	
Dechloromonas	15.0		1.0		10.0		10.0	30.0		30.0			60.0	22.0		19.0		20.0		28.0	21.0	
Quatrionicoccus	23.0				11.0		9.0	37.0		20.0			34.0	24.0		6.0		6.0		3.0	5.0	
Ferribacterium	10.0				13.0		11.0	31.0		28.0			35.0	19.0		48.0		44.0		23.0	35.0	
Sterolibacterium	5.0		52.0		8.0		7.0	16.0		14.0			26.0	32.0		38.0		31.0	2.0	7.0	16.0	
Sulfuricystis	3.0			1.0	2.0		3.0	12.0		8.0			6.0	3.0		4.0	1.0	5.0			3.0	
Denitratisoma	2.0		1.0				1.0	6.0		7.0			2.0	2.0		3.0		5.0		5.0	6.0	
Rugosibacter	1.0				1.0		1.0						2.0			1.0		3.0	7.0		2.0	
Sulfuriferula	12.0				4.0		6.0	8.0		9.0			20.0	7.0		11.0		22.0		25.0	9.0	
Thiobacillus	5.0		4.0		1.0		5.0	2.0		10.0			20.0	2.0		2.0		10.0			6.0	
Sulfuritortus	1.0				1.0					4.0			4.0	1.0		3.0		2.0				
Nitrosomonas	6.0				4.0			4.0		3.0			6.0	7.0		6.0		6.0	1.0	4.0	3.0	
Methylophilus	1.0															1.0						
Ferrovum	2.0				2.0		1.0	3.0		2.0				1.0				3.0		6.0	1.0	
Casimicrobium	1.0				1.0									1.0						2.0	1.0	
Bradyrhizobium	44.0	77.0	96.0	106.0	99.0	119.0	170.0	173.0	72.0	135.0	53.0	65.0	103.0	47.0	121.0	73.0	58.0	62.0	55.0	27.0	32.0	35.0
Rhodopseudomonas	10.0		11.0	1.0	12.0		2.0	5.0	7.0	12.0			7.0	21.0	10.0	34.0	7.0	9.0	13.0	10.0		
Agrobacterium	15.0				9.0	2.0	9.0	6.0	56.0	77.0			14.0	8.0	127.0	4.0	53.0	19.0	1.0	38.0	7.0	
Rhizobium	1.0	1.0	4.0		10.0	2.0	12.0	12.0	5.0	10.0			31.0	9.0	1.0	10.0		12.0	1.0	3.0	31.0	
Pararhizobium	1.0									1.0	3.0										1.0	
Shinella	35.0		31.0		45.0	3.0	73.0	37.0		89.0			182.0	145.0		207.0		128.0		139.0	119.0	
Ensifer	1.0							1.0					1.0							1.0		
Brucella	59.0	1.0	22.0		97.0	76.0	55.0	56.0		56.0			217.0	43.0		85.0		196.0		90.0	109.0	
Pseudochrobactrum	8.0							1.0		6.0			3.0			3.0		2.0		3.0	1.0	
Methylobacterium	5.0	27.0	32.0	32.0	11.0	49.0	20.0	3.0	14.0	2.0	17.0	17.0	6.0	23.0	75.0	9.0	14.0	5.0	18.0	9.0	3.0	15.0
Microvirga	2.0	757.0	35.0	21.0	6.0	4.0	10.0	8.0	26.0	4.0	9.0	7.0	4.0	16.0	88.0	10.0	4.0	15.0	8.0	11.0	2.0	2.0
Xanthobacter	5.0				2.0		3.0		14.0	5.0	2.0		2.0			8.0		4.0				2.0
Ancylobacter	1.0						1.0								1.0			5.0				
Bartonella	3.0	1.0		6.0	1.0	3.0		1.0		1.0	3704.0			3.0		2.0			3.0	1.0	2.0	2021.0
Bosea	3.0	1.0	1.0		4.0	1.0	2.0	4.0	8.0	11.0	1.0		7.0		5.0	4.0	4.0	8.0		8.0	1.0	1.0
Aminobacter	27.0		15.0		15.0		20.0	14.0					48.0	35.0		13.0		9.0		16.0	2.0	
Mesorhizobium	1.0	4.0	14.0	2.0	5.0	4.0	4.0	4.0	7.0	8.0	3.0	6.0	17.0	1.0	14.0	8.0	1.0	3.0	12.0	3.0	6.0	3.0
Devosia	2.0		1.0		4.0			1.0		1.0						2.0			4.0	1.0		
Parvibaculum	2.0		9.0		4.0		12.0	12.0		34.0			28.0	22.0		20.0		5.0		12.0	12.0	
Cohaesibacter	1.0		1.0		1.0			1.0		1.0				2.0	3.0	2.0		4.0		5.0		
Rhodoplanes	1.0		3.0	3.0		1.0		1.0	2.0				1.0		3.0	1.0	2.0	1.0			1.0	1.0
Sphingobium	69.0		42.0		61.0	32.0	6.0	53.0	2.0	46.0	15.0	35.0	64.0	49.0		62.0	26.0	60.0	31.0	58.0	49.0	24.0
Sphingomonas	10.0	31.0	27.0	43.0	16.0	10.0	48.0	7.0	13.0	9.0	10.0	16.0	9.0	5.0	84.0	9.0	5.0	16.0	19.0	14.0	3.0	13.0
Sphingopyxis	8.0		15.0	1.0	45.0		18.0	9.0	10.0	37.0	3.0	1.0	13.0	24.0	2.0	20.0	2.0	30.0	7.0	9.0	22.0	
Novosphingobium	2.0				16.0			1.0	15.0	2.0		1.0	3.0		1.0	4.0		2.0			1.0	
Caenibius	1.0						15.0											3.0			1.0	
Brevundimonas	31.0	9.0	1.0		37.0	7.0	53.0	50.0		102.0	1.0	9.0	164.0	32.0	20.0	96.0	7.0	127.0	6.0	44.0	138.0	4.0
