Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_13440	3.337	5.818	8.315	0.09683	5.359	2.207	0.4536	4.903	0.02442	5.241	0.0321	0.0	5.836	10.58	178.9	12.51	1927.0	6.183	0.7267	7.561	5.401	0.8103
contig_13441	2.513	0.1707	14.12	0.0	4.877	0.06626	0.3294	2.917	0.07916	3.083	0.0	0.0	4.459	6.242	162.1	7.726	2043.0	5.076	0.4597	6.173	6.499	0.9679
contig_13443	6.522	0.0	23.84	0.0	14.63	0.0	1.147	7.998	0.0	15.53	0.0	0.6755	11.65	14.86	0.0	10.89	0.0	9.383	0.0	7.523	8.697	0.0
contig_13472	226.3	283.5	767.8	1332.0	441.7	391.7	103.4	308.3	590.7	346.4	402.3	843.0	313.3	409.8	381.1	409.9	962.4	366.5	542.3	400.4	359.2	601.8
contig_13548	392.4	756.2	1417.0	1698.0	762.9	1096.0	151.6	603.8	830.2	658.4	1344.0	6.675	600.8	790.7	484.6	827.0	1573.0	811.4	2675.0	857.5	675.5	882.5
contig_13832	10.96	0.0	12.11	0.0	22.16	0.0	1.417	12.54	0.0	18.51	0.0	0.0	13.7	6.826	0.0	9.429	0.0	20.23	0.0	13.9	22.36	0.0
contig_13975	203.2	563.1	702.2	1128.0	298.5	503.0	99.15	281.1	527.3	317.9	683.1	308.8	295.7	427.9	338.2	439.3	983.4	405.7	1253.0	396.1	386.5	624.4
contig_14113	58.59	0.4563	9.779	0.0	43.01	0.1181	4.864	36.39	0.1411	52.09	0.0	0.0	46.21	36.58	0.1727	51.48	0.1175	48.53	0.2048	61.87	72.97	0.1232
contig_14122	37.65	0.6146	16.56	0.5651	30.61	2.481	7.828	55.45	0.0	61.47	0.0	0.1197	76.14	51.53	0.1395	87.36	0.2848	87.64	33.68	98.21	83.35	3.783
contig_14252	3.966	0.2984	99.18	0.0	8.042	2.78	0.5965	5.163	0.0	7.299	0.09098	0.0	7.74	6.162	6.437	9.309	5.072	6.132	0.0	10.28	5.414	0.0
contig_14278	9.559	0.275	7.226	0.0	13.04	0.0	1.478	23.38	0.0	19.97	0.1677	0.0	26.27	29.3	0.1561	33.75	0.0	26.28	0.0	29.13	25.01	0.2228
contig_14405	12.08	1.284	31.6	0.5906	22.0	1011.0	2.877	34.98	0.0	35.41	0.0	0.6257	53.69	37.76	0.2734	29.59	0.0	22.21	0.0	17.49	25.75	0.0
contig_14567	12.78	1.531	29.62	1.69	30.63	1195.0	2.449	25.65	0.7102	24.32	1368.0	0.8951	22.98	32.15	0.3477	22.98	0.0	22.0	0.0	17.07	18.11	2.233
contig_14570	9.415	8.307	13.62	0.8715	19.1	253.0	1.591	16.46	0.4912	18.06	1495.0	0.4345	16.6	18.24	5.554	16.39	0.04307	16.07	0.0	16.72	14.23	1.219
contig_146521	57.76	1.308	199.1	80.28	111.8	0.2538	8.564	78.5	0.6065	78.13	11.56	0.0	65.77	89.88	4.361	97.73	74.51	88.49	0.0	122.7	90.36	29.93
contig_15051	77.65	1.03	40.68	0.6312	146.3	0.03331	10.33	91.09	0.1592	127.9	0.3139	0.5851	109.9	76.22	0.1461	55.32	0.1326	84.32	0.1733	35.01	112.7	0.2085
contig_15178	160.7	5.263	8.63	0.9679	48.64	0.5448	6.529	53.81	0.1627	57.56	33.16	0.3418	56.96	40.48	1.195	69.39	0.0	69.16	0.0	81.36	67.73	0.0
contig_15180	71.99	0.0	5.958	0.338	84.12	0.2853	33.44	343.7	1.363	352.5	0.0	0.0	347.6	272.6	0.2086	432.5	1.703	435.9	0.7423	511.2	346.7	2.679
contig_15316	154.4	307.5	379.4	765.9	241.4	330.9	68.73	204.8	365.5	237.9	488.0	87.78	202.9	298.1	302.9	264.9	732.3	282.0	677.7	264.2	245.8	382.1
contig_15318	91.72	295.3	281.5	482.1	157.4	255.6	50.0	137.0	245.1	138.7	329.2	35.56	149.1	203.8	202.3	281.0	501.5	238.3	449.2	287.2	160.3	311.6
contig_15319	155.2	363.7	467.1	888.5	279.7	263.1	81.33	220.2	491.8	253.1	716.6	217.4	254.9	304.7	414.6	425.3	911.1	353.0	540.3	372.2	293.1	496.0
contig_15448	7.996	0.0	29.56	0.0	29.15	0.0	0.7973	19.3	0.0	17.41	0.0	0.0	13.98	15.63	0.1563	15.61	0.6383	15.37	0.0	28.12	10.61	0.0
contig_15586	19.54	0.3243	0.5439	0.0994	26.93	0.04196	1.781	27.24	0.0	36.42	0.06591	0.1053	28.3	47.6	0.0	6.06	0.334	18.27	0.0	11.08	13.85	0.0
