name	FAME000104	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000112	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000124	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000132
Leclercia	0.004207531825158864	0.568666010998944	0.5379418939109578	0.3217257145877658	0.5211859373788582	0.5136784532467579	0.5571933709550683	0.6595002179467561	0.7367922740830749	0.7680344741309937	0.7263041389305569	0.00868320515268584	0.7196968865574346	0.7225035597506898	0.7982418619838334	0.8213941718703685	0.8801951149020014	0.9042309059762759	0.924069947071188	0.9319157005177897	0.5828393452925573	0.01019438364054457	0.12989905623036369	0.05936729776883383	0.021551381475178842	0.018128967450246846	0.038927747065536394	0.05161736923686753	0.048123957061088664
Lelliottia	0.002097588459655055	0.06007363879666105	0.06958601650803742	0.048249375602923104	0.2068179674195294	0.20845227569282737	0.1933848449492424	0.18421717698667742	0.13851193049216187	0.13745492011890584	0.18639363446370863	0.004139224611446212	0.19288005044855824	0.18209037344885978	0.11915115694622429	0.0960167112441814	0.03314280844386301	0.012581156716225866	0.0026449057649199467	0.002505771265672451	0.34158248691478516	0.0049140731930418435	0.10165156704540246	0.4881998356857351	0.32472299639725377	0.4215253049134888	0.19434448419681002	0.07505578072360226	0.8585700010137728
Escherichia	0.010362628253237917	0.02050760002617954	0.02745856174516924	0.016923803734489182	0.013818036547904627	0.01246580140973479	0.00984356025430388	0.006576369470760356	0.007425711682703708	0.008162413779614828	0.01115744807705115	0.024521066593778854	0.006422989549820906	0.006302494822855291	0.006618426962253077	0.007668295314551134	0.007353515030206775	0.00881866784095188	0.009252565669867567	0.009657329906430074	0.008056456656284754	0.020267370747062568	0.009190631788418668	0.0036292733760632475	0.010435809016428385	0.012822027399776937	0.019425410814326024	0.01318591811194117	0.0030915243764090237
Phytobacter	0.0013676684664953585	0.0018710410081245014	0.0036748035823758597	0.0006917923169426348	0.0013382642361486406	0.0010811452591387243	0.0006881443912660428	0.0004364731577702656	0.00024166181641190065	0.00027726325666483547	0.0003160780110130459	0.0036304225985235457	0.0002743604657543267	0.0002801504502884303	0.0002270263168649741	0.0001429483038718674	0.00010375003097447911	9.408280892975555e-05	4.681249141451233e-05	3.922819592336991e-05	0.00038000264939017813	0.005089878776053817	0.0009364599326859787	0.00032780798411423634	0.0003946084389751011	0.00048059815767549586	0.001141639980794333	0.00038805556984746625	0.0008267880619399106
Atlantibacter	0.0003806487659115989	3.3608867080468475e-05	4.844439472214003e-05	1.0902171183909717e-05	3.781054776789823e-05	4.560467274912437e-05	3.3335714455794465e-05	2.9272104206372393e-05	3.318595366219763e-05	3.591875374717478e-05	3.636482802290561e-05	0.0014925970140440784	3.883255822984316e-05	2.96769544797066e-05	3.487774707727689e-05	3.0596811616409974e-05	3.195871489838866e-05	3.067470137972336e-05	2.110399203113261e-05	1.5399033929804234e-05	2.7418107657661822e-05	0.0006780654599363649	0.00022695862997411276	1.4359548740923997e-05	1.5697926951929205e-05	1.8939828873911167e-05	2.1762795503625093e-05	7.790097807395448e-06	6.114820232330986e-05
Buttiauxella	0.0002384692938426091	0.00019767320506538694	0.0009758583109495834	5.649306886207762e-05	0.0005492077544468451	0.0001828118347270934	0.00012778690541387876	0.00011969682215080988	8.877951706211843e-05	4.157718755666122e-05	4.947307998465066e-05	0.00030594786457914194	4.980697686001623e-05	5.015405307070416e-05	3.0598268908285864e-05	2.374312581433414e-05	2.0147885479418933e-05	1.5440285929390954e-05	8.249742339442748e-06	8.092922941210985e-06	9.688758267791733e-05	0.0010326018436476996	3.9019163861915776e-05	5.2309784699080274e-05	3.341210140227133e-05	3.8353153469670115e-05	2.5843319660554797e-05	1.539903054950263e-05	0.00018086994581947442
Symbiopectobacterium	0.00013943393743593344	4.864441287962542e-06	9.06154145881756e-06	1.6518441187741995e-06	7.6384944985653e-06	6.290299689534396e-06	2.381122461128176e-06	6.0862790924140615e-06	2.552765666322894e-06	4.920377225640381e-07		0.001619499902620485		2.96769544797066e-07	1.4978173591468603e-06		2.3158489056803373e-07		5.755634190308893e-07	1.6860256127522885e-06	9.242058761009602e-07	6.99127027285553e-05	0.00026546662575050123	2.071877746904748e-05	3.168388926077454e-06	4.024713635706123e-06	6.045220973229192e-07	5.434951958647987e-07	1.6091632190344699e-06
Candidatus Hamiltonella	1.1766576998812949e-06	1.768887741077288e-06		2.642950590038719e-06								9.523668936315702e-07					2.3158489056803373e-07					2.925217687387251e-07	1.7038936184242698e-07	4.1027282116925703e-07	5.760707138322643e-07	9.469914436955583e-07	1.3601747189765683e-06	1.0869903917295975e-06	
Salmonella	0.0011158637187207612	0.007794603831057069	0.011454833966421413	0.0049601575198551665	0.004427271411368448	0.0035029106396094667	0.0028918732290401697	0.004318939573102588	0.003944306595098463	0.002208511317728685	0.0020457329997071788	0.00252162944261299	0.0023122255867726177	0.0026451069527762493	0.0031717352449477016	0.0045339579325660954	0.0035589965982495424	0.002718313805489042	0.005275614298837132	0.006064184522239914	0.004469613651136927	0.0019364941090503603	0.0014311002501145443	0.0007680307212288492	0.0008950698716168807	0.0013736110890804074	0.0018197626434663177	0.0027270777277842717	0.0017716887041569513
Pseudescherichia	0.00014845497980169004	0.0010095926782198621	0.0003624616583527024	0.0009422118853488034	2.7116655469906816e-05	3.5382935753630975e-05	2.857346953353811e-05	2.5504407625354164e-05	1.8720281553034556e-05	2.312577296050979e-05	1.7336720336501512e-05	0.00039856554498481214	2.1315697723989995e-05	2.4038333128562346e-05	2.011354739425784e-05	1.4931244068808068e-05	1.0421320075561518e-05	1.0087653473868757e-05	1.2278686272658972e-05	1.0678162214097826e-05	2.78802105957123e-05	0.000614003192582584	2.5728793638206475e-05	0.0001230818463507771	6.423188459229747e-05	0.0001702217120042766	0.00019495837638664146	0.00019891924168651632	5.85735411728547e-05
