species	FAME000016	FAME000003	FAME000008	FAME000022	FAME000023	FAME000015	FAME000001	FAME000018	FAME000013	FAME000019	FAME000006	FAME000011	FAME000014	FAME000002	FAME000012	FAME000009	FAME000020	FAME000010	FAME000017	FAME000005	FAME000007	FAME000004
Acinetobacter phage Presley	0.0009660155721710234		0.0003263909968307434				0.0003844948602649554	0.17080745341614909	0.0017629740196395305	0.003293048374880627			0.0009387643982989589				0.0007409767555591781					
Acinetobacter phage VB_ApiP_XC38	0.0038640622886840937		0.0003263909968307434	0.0033822634106744232	0.0059714564382252824	0.005743330557390231	0.003268206312252121	7.202580028666985	0.004701264052372082	0.00987914512464188	0.0004821577523734215		0.0032856753940463564		0.004977353043651386		0.005186837288914246	0.0005209880016463221	0.020374898125509373	0.00046586165772212284	0.023321142735994064	
Acinetobacter phage fLi-Aba02	0.0009660155721710234		0.002937518971476691	0.008455658526686057			0.0011534845807948662	0.0015926102882624622	0.011753160130930205				0.0075101151863916716					0.005209880016463221		0.0013975849731663686	0.0005300259712725924	
Acinetobacter phage phiAC-1	0.0009660155721710234		0.0013055639873229736	0.0033822634106744232				0.0011944577161968467	0.004701264052372082									0.007293832023048509		0.002329308288610614	0.0010600519425451847	
Acinetobacter phage vB_AbaP_Alexa	0.0057960934330261405	0.0011756545456683008	0.010444511898583789	0.03635933166475005			0.0026914640218546875	0.011148272017837236	0.024093978268406917	0.003293048374880627			0.015958994771082303				0.008150744311150959	0.019276556060913917		0.0032610316040548597	0.0037101817989081466	
Acinetobacter phage vB_AbaS_TRS1	0.0019320311443420468	0.0011756545456683008	0.0052222559492918945	0.01860244875870933			0.0017302268711922994	0.0031852205765249245	0.02761992630768598				0.015020230372783343					0.011982724037865409		0.004192754919499105	0.0015900779138177772	
Acinetobacter virus 133	0.0009660155721710234						0.0001922474301324777	0.005574136008918618				0.001161872008179579									0.0021201038850903694	
Acinetobacter virus AP22	0.0009660155721710234																					
Acinetobacter virus ME3	0.0009660155721710234		0.0006527819936614868						0.004113606045825571								0.0007409767555591781	0.0005209880016463221			0.0005300259712725924	
Actinomyces phage xhp1	0.0009660155721710234						0.0001922474301324777								0.004977353043651386		0.0007409767555591781		0.006791632708503125	0.0013975849731663686		0.002902336380786533
Aeromonas phage 13AhydR10PP	0.004830077860855117		0.001631954984153717	0.0008455658526686058				0.0015926102882624622	0.0005876580065465102				0.0014081465974484385				0.0022229302666775344	0.0015629640049389664		0.00046586165772212284		
Aeromonas phage 2_D05	0.0028980467165130703	0.0023513090913366017	0.1909387331459849	0.06595413650815125			0.0001922474301324777	0.0015926102882624622	0.0029382900327325507		0.000964315504746843		0.10420284821118445	0.0015041212923410144			0.0022229302666775344	0.0031259280098779327		0.006522063208109719	0.2284411936184873	0.005804672761573066
Aeromonas phage 2_L372X	0.0009660155721710234																					
Aeromonas phage 3	0.0019320311443420468			0.0008455658526686058					0.0011753160130930204				0.00046938219914947947									
Aeromonas phage 32	0.0019320311443420468		0.0006527819936614868																	0.00046586165772212284		
Aeromonas phage 4_4512	0.0019320311443420468	0.0011756545456683008	0.18963316915866194	0.05665291212879659	0.0019904854794084276		0.0003844948602649554	0.0015926102882624622	0.048187956536813834		0.0014464732571202645		0.14316157074059124	0.0015041212923410144			0.0029639070222367125	0.05991362018932704		0.00046586165772212284	0.3333863359304606	
Aeromonas phage 4_4572	0.0019320311443420468		0.0009791729904922303						0.0005876580065465102				0.00046938219914947947				0.0007409767555591781					
Aeromonas phage 4_D05	0.0009660155721710234		0.16939692735515582	0.05496178042345938					0.006464238072011612		0.000964315504746843		0.12297813617716362			0.0046840601433322405	0.0022229302666775344	0.005730868018109543		0.0018634466308884913	0.3238458684475539	0.005804672761573066
Aeromonas phage 4_L372D	0.0028980467165130703		0.0009791729904922303														0.017783442133420275				0.0005300259712725924	
