"","taxon.name"
"486","G001647615"
"487","G000417845"
"488","G000415685"
"489","G000417585"
"490","G000224765"
"491","G000428885"
"492","G000226295"
"493","G000745965"
"494","G000255295"
"495","G000317895"
"496","G000691605"
"497","G000299235"
"498","G000526155"
"499","G000384395"
"500","G900142125"
"501","G000711225"
"502","G000820505"
"503","G000620765"
"504","G000428825"
"505","G000468495"
"506","G000482745"
"507","G000430005"
"508","G000420465"
"509","G000702665"
"510","G000519125"
"511","G000422245"
"512","G000422565"
"513","G000420485"
"514","G000621145"
"515","G000429945"
"516","G900130015"
"517","G900129305"
"518","G000429905"
"519","G000429925"
"520","G000018405"
"521","G000745975"
"522","G000373985"
"523","G000422285"
"524","G000968465"
"525","G000190415"
"526","G000427665"
"527","G000264455"
"528","G000378465"
"529","G000425365"
"530","G000745835"
"531","G000711725"
"532","G000245075"
"533","G000964385"
"534","G000429165"
"535","G000300235"
"536","G000421265"
"537","G000294655"
"538","G000284415"
"539","G000515255"
"540","G900100655"
"541","G000426505"
"542","G000423805"
"543","G000423185"
"544","G000225995"
"545","G000429645"
"546","G000429625"
"547","G000375545"
"548","G000420765"
"549","G000711715"
"550","G000585415"
"551","G000512205"
"552","G000333335"
"553","G000214335"
"554","G000226955"
"555","G000241465"
"556","G000242835"
"557","G000427645"
"558","G000445145"
"559","G000420305"
"560","G000429005"
"561","G000192575"
"562","G000767465"
"563","G000445125"
"564","G001046635"
"565","G000422985"
"566","G000374145"
"567","G900113695"
"568","G900102905"
"569","G000429765"
"570","G001202015"
"571","G000420745"
"572","G001202035"
"573","G000740785"
"574","G000383155"
"575","G000442275"
"576","G000220565"
"577","G000688295"
"578","G001046955"
"579","G000442255"
"580","G000743705"
"581","G000192475"
"582","G000473205"
"583","G000511355"
"584","G000473145"
"585","G000442315"
"586","G000379485"
"587","G000600975"
"588","G000382265"
"589","G000428525"
"590","G000412185"
"591","G000376105"
"592","G000428765"
"593","G000701445"
"594","G000503895"
"595","G000526315"
"596","G000384475"
"597","G000372845"
"598","G000283235"
"599","G000429045"
"600","G001006805"
"601","G000372825"
"602","G001402875"
"603","G000702305"
"604","G000473085"
"605","G000526175"
"606","G000935205"
"607","G000333455"
"608","G000472865"
"609","G000472385"
"610","G000472425"
"611","G000284375"
"612","G000230555"
"613","G000970465"
"614","G000688515"
"615","G000423225"
"616","G000380505"
"617","G900148505"
"618","G000422965"
"619","G000425185"
"620","G000374525"
"621","G000423705"
"622","G000422785"
"623","G000192745"
"624","G000382705"
"625","G000374465"
"626","G000376125"
"627","G000379605"
"628","G001695855"
"629","G000697965"
"630","G000426285"
"631","G000247475"
"632","G000300855"
"633","G000967425"
"634","G001005825"
"635","G000731315"
"636","G001014615"
"637","G000236565"
"638","G000372965"
"639","G001686985"
"640","G000282595"
"641","G000379225"
"642","G000379345"
"643","G000423825"
"644","G000429665"
"645","G000429605"
"646","G000214035"
"647","G000527135"
"648","G000373965"
"649","G000425565"
"650","G001051995"
"651","G000743945"
"652","G000373745"
"653","G000372065"
"654","G000209655"
"655","G000382185"
"656","G000067205"
"657","G001078275"
"658","G000482785"
"659","G001941825"
"660","G000427785"
"661","G000382345"
"662","G000344615"
"663","G000425385"
"664","G000312045"
"665","G001040945"
"666","G000069785"
"667","G000953875"
"668","G000227585"
"669","G001411495"
"670","G001190015"
"671","G000377645"
"672","G000733775"
"673","G000430725"
"674","G000284255"
"675","G000477435"
"676","G000422885"
"677","G000688255"
"678","G000204195"
"679","G000410635"
"680","G000429845"
"681","G000484635"
"682","G000745855"
"683","G000374625"
"684","G000376945"
"685","G000428465"
"686","G000430805"
"687","G000620145"
"688","G000429785"
"689","G000374805"
"690","G000711875"
"691","G000420525"
"692","G000620105"
"693","G000422925"
"694","G000711885"
"695","G000382305"
"696","G000745895"
"697","G000226875"
"698","G000428785"
"699","G000620925"
"700","G000745955"
"701","G000227765"
"702","G001063255"
"703","G000376425"
"704","G000373385"
"705","G000384375"
"706","G000384355"
"707","G000378225"
"708","G000515275"
"709","G900143275"
"710","G000376165"
"711","G000252525"
"712","G000215955"
"713","G000711955"
"714","G000420645"
"715","G900113085"
"716","G000474945"
"717","G000426685"
"718","G000378125"
"719","G001887595"
"720","G000264335"
"721","G000429065"
"722","G000420545"
"723","G000426365"
"724","G000743535"
"725","G000423885"
"726","G000422305"
"727","G000768345"
"728","G000233915"
"729","G900112605"
"730","G000374645"
"731","G000419525"
"732","G000371925"
"733","G000380185"
"734","G000621325"
"735","G000377885"
"736","G000381825"
"737","G000745395"
"738","G001020955"
"739","G000143085"
"740","G000214595"
"741","G000968535"
"742","G000427625"
"743","G000496735"
"744","G000384075"
"745","G000372865"
"746","G000527095"
"747","G000428045"
"748","G000828615"
"749","G001281385"
"750","G000483485"
"751","G000381085"
"752","G000478585"
"753","G000384235"
"754","G000711315"
"755","G000308315"
"756","G000622185"
"757","G000236145"
"758","G000236165"
"759","G000373765"
"760","G000423305"
"761","G000420045"
"762","G000619845"
"763","G000368825"
"764","G000368025"
"765","G000368905"
"766","G000368565"
"767","G000368925"
"768","G000400735"
"769","G000219275"
"770","G000368865"
"771","G000369105"
"772","G000379845"
"773","G000382145"
"774","G000685805"
"775","G000426885"
"776","G000373485"
"777","G000422345"
"778","G000420325"
"779","G000423125"
"780","G000220505"
"781","G000305785"
"782","G000263355"
"783","G000423345"
"784","G000377745"
"785","G000381665"
"786","G000426805"
"787","G000379165"
"788","G000428585"
"789","G000722635"
"790","G000373945"
"791","G900103375"
"792","G000364625"
"793","G000829415"
"794","G000397205"
"795","G000237065"
"796","G000422425"
"797","G000422865"
"798","G001995095"
"799","G900119735"
"800","G000422325"
"801","G000686905"
"802","G000382245"
"803","G000620025"
"804","G000378505"
"805","G000409775"
"806","G000236035"
"807","G000236625"
"808","G000620045"
"809","G000425725"
"810","G000376785"
"811","G000421165"
"812","G000708045"
"813","G000423605"
"814","G000422845"
"815","G001418205"
"816","G900129155"
"817","G000619885"
"818","G000220545"
