#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out
N4880	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	3	0	0
N4889	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
N4895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
N4902	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
N4908	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4909	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
N4910	2	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
N4922	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
N4925	10	0	0	0	13	0	6	6	0	16	0	0	18	12	0	38	0	24	0	24	21	0
N4927	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0
N4942	1	0	0	2	2	3	1	7	0	2	1	0	0	25	2	0	2	3	4	6	2	0
N4943	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
N4949	0	4	0	0	1	0	4	9	0	7	0	0	22	12	0	9	2	11	0	6	6	0
N4950	77	0	4	0	79	0	38	146	0	131	4	0	203	147	0	132	0	195	0	170	109	0
N4951	847	2	228	4	840	13	615	1345	2	1728	3	0	2020	1693	0	3375	6	4218	12	3235	3886	2
N4952	50	0	31	0	58	5	102	65	0	119	4	0	242	86	0	126	0	163	2	143	89	4
N4954	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
N4955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
N4956	1	0	0	0	3	0	0	0	0	0	0	0	4	2	2	5	0	0	0	2	1	0
N4957	0	0	0	0	0	0	0	0	0	0	0	0	3	2	7	1	0	9	0	1	8	0
N4958	1	0	1	0	4	0	0	4	0	5	0	0	9	5	0	8	0	11	0	8	5	0
N4961	1	0	2	0	2	0	3	6	0	7	0	0	6	12	0	5	0	16	0	2	4	0
